gene_id	TMAU2_NT_rep1	TMAU2_NT_rep2	TMAU2_NT_rep3	TMAU2_Dox2h_rep1	TMAU2_Dox2h_rep2	TMAU2_Dox2h_rep3	TmCherry_NT_rep1	TmCherry_NT_rep2	TmCherry_NT_rep3	TmCherry_Dox2h_rep1	TmCherry_Dox2h_rep2	TmCherry_Dox2h_rep3
ENSG00000290825.1	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000223972.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232.5	47	22	31	22	28	31	10	30	37	26	12	10
ENSG00000278267.1	7	1	2	3	4	4	0	4	0	3	1	1
ENSG00000243485.5	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290826.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	5	1	2	2	6	9	1	4	6	1	1	1
ENSG00000239945.1	1	0	0	0	5	3	0	0	0	0	1	1
ENSG00000233750.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903.1	0	0	0	0	0	0	4	0	0	0	0	0
ENSG00000269981.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906.1	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000241860.7	0	0	1	2	1	5	0	1	3	0	0	1
ENSG00000222623.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279457.4	69	47	65	46	44	85	25	64	97	36	24	47
ENSG00000273874.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463.10	37	26	43	23	37	42	14	60	68	9	7	13
ENSG00000286448.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0	0	0	0	0	0	0	0
