chrom	start	end	teto_id	tacl_domain_ctcf_start	tacl_domain_ctcf_end	tacl_domain_wapl_start	tacl_domain_wapl_end	tacl_domain_stag2_start	tacl_domain_stag2_end	tacl_domain_pds5a_start	tacl_domain_pds5a_end
chr3	32710370	34267172	1	31524002	35748833	30689949.0	37036534.0	30695097	36971527	32133530	36992684
chr17	19348155	21034668	2	18370793	22316950	17344811.0	22685229.0	17990942	22744927	18212355	22742784
chr1	237514789	239990427	3	236081665	239984499	235499255.0	240953328.0	236086393	240948285	235095767	242022245
chr18	46949582	48492721	4	47243931	49650932	45612014.0	50460939.0	45651167	49459860	46479282	50280235
chr8	64261002	66451818	5	63388956	66876298	61554095.0	69652803.0	61653645	69635429	62893700	68608947
chrX	131792264	133688381	6	130766932	134423586			130958514	135268883	129927452	135265446
chr15	56391142	58292274	7	55171860	58899380	53801716.0	59539917.0	53803099	59736204	53874557	59740407
chr18	55225594	57174399	8	55795547	57400287			54385773	58126463	54378602	57606666
chr13	61946766	65660533	9	60030569	67239871	59322625.0	67246629.0	59549772	67467827	59365869	65974847
chr3	52839308	56309637	10	51932104	56201664	51994282.0	57179719.0	52420430	57217697	51662981	56637068
chr9	33029718	35017875	11	31096594	35769607	31130514.0	35661229.0	29630445	36021860	31738657	36333997
chr10	60428007	63773965	12	59580465	64130161	58776166.0	64104760.0	58769566	64748311	58765146	64431760
chr11	94593974	97202372	13	93655848	99024112	93880154.0	101445464.0	93686974	100943596	92918947	99759623
chr7	75421996	76507403	14	74564667	78388233	73652968.0	80060730.0	73534233	79624491	74396759	78149409
chr8	114152551	117061146	15	112792466	117632058	111417920.0	119452722.0	111413825	117353624	111927362	118745524
chr5	128193307	130692301	16	126327887	131024447	126317871.0	132195765.0	126333080	132532228	126538298	132894611
chr4	109981030	112067813	17	108013169	114702552	107030771.0	114391220.0	107910046	114703914	107903433	114403336
chr18	74541535	77045026	18	72589275	79041116	72535532.0	79537393.0	72556897	79052008	72671660	78905301
chr4	109981030	112067813	19	110615049	114702552	107030771.0	114391220.0	107910046	114703914	107903433	114403336
chr20	50973223	53969861	20	49977468	54887851	49324947.0	54687395.0	49967861	54722194	49245308	54752325
chr6	63917202	68349334	21	63698681	70221933	62146799.0	70380305.0	62846982	70226542	62651572	71019284
chr19	27750204	31444954	22	27446002	32245614	27954723.0	32700910.0	27431975	32602963	27768467	32610399
chr16	58801619	62142926	23	57461684	61390387	57301506.0	63465497.0	58291213	65135445	57289392	63014198
chr10	125374115	128161719	24	123897938	128579457	123523550.0	130011009.0	123852446	130198349	123551093	129626220
chr17	42017995	43347297	25	41960030	43380908			40783986	43934369	41635420	44015733
chr2	50473017	53833247	26	48767658	54654180	48583216.0	56190430.0	48468445	55179697	48411509	55244154
chr5	32608348	35961615	27	32087103	35987938			31227541	38195008	31244607	37342302
