chrom	start	end	teto_id	tacl_domain_stag2_iaa_start	tacl_domain_stag2_iaa_end
chr3	32710370	34267172	1	33011755	33868448
chr17	19348155	21034668	2	19269121	19990041
chr1	237514789	239990427	3	237379912	238896156
chr18	46949582	48492721	4	47094792	48483374
chr8	64261002	66451818	5	64509358	66183060
chrX	131792264	133688381	6	131825018	132981734
chr15	56391142	58292274	7	56716959	58189251
chr18	55225594	57174399	8	55575800	56870876
chr13	61946766	65660533	9	61874423	64105107
chr3	52839308	56309637	10	52848558	54784593
chr9	33029718	35017875	11	33698689	34615601
chr10	60428007	63773965	12	60938061	62852264
chr11	94593974	97202372	13	95079918	96442796
chr7	75421996	76507403	14	75432829	76320253
chr8	114152551	117061146	15	114548899	116345748
chr5	128193307	130692301	16	128525172	130239701
chr4	109981030	112067813	17	110035139	112067595
chr18	74541535	77045026	18	75191713	76995145
chr4	109981030	112067813	19	110035139	112067595
chr20	50973223	53969861	20	51074974	52186486
chr6	63917202	68349334	21	65183448	67547190
chr19	27750204	31444954	22	28931280	30499991
chr16	58801619	62142926	23	58495717	60430316
chr10	125374115	128161719	24	125521672	127585217
chr17	42017995	43347297	25	42451018	43117045
chr2	50473017	53833247	26	50674984	52946756
chr5	32608348	35961615	27	33411081	35254763
