chrom	start	end	teto_id	domain_small_start	domain_small_end	domain_large_start	domain_large_end
chr3	33400162	33400162	1	32943025	33896603	29979716	37412478
chr17	19456127	19456127	2	19355266	20333029	17348282	22822656
chr1	237830986	237830986	3	237543776	240050358	233321503	242063930
chr18	47931745	47931745	4	47083150	48559650	43557896	51704212
chr8	65550156	65550156	5	64245069	66639209	61012154	69728571
chrX	132481644	132481644	6	131818350	133683961	129575808	135755620
chr15	57387420	57387420	7	56475772	58207686	52715626	60601088
chr18	56634609	56634609	8	55220048	57578323	51704212	59406794
chr13	62507506	62507506	9	61998648	67308741	57596900	69617134
chr3	53376827	53376827	10	52836280	54878435	50592396	57444215
chr9	34072804	34072804	11	33399410	34704583	27714476	36481353
chr10	62024612	62024612	12	60415583	63826223	58290142	66196285
chr11	96193977	96193977	13	94590528	96486790	90128970	102092761
chr7	75997722	75997722	14	75621917	76350844	73413021	79406279
chr8	115112796	115112796	15	112739644	117368368	109699014	119921893
chr5	129667933	129667933	16	127529161	129793198	126226196	133737949
chr4	110494148	110494148	17	109973176	111222350	106188418	111149888
chr18	76494438	76494438	18	76331780	77020694	70445945	79143916
chr4	111934793	111934793	19	111222350	112341730	111149888	114907212
chr20	51962227	51962227	20	50953871	53576806	49246010	57394149
chr6	66566401	66566401	21	63906217	68367951	60661449	71063266
chr19	29771361	29771361	22	29586109	30720189	27250396	33803911
chr16	59121753	59121753	23	58800386	62205719	55455287	65198871
chr10	126191388	126191388	24	125852661	128224355	122252499	132165535
chr17	42841554	42841554	25	42308491	42940238	40585881	44222122
chr2	51872342	51872342	26	50462955	53918807	47740578	56256546
chr5	34372940	34372940	27	33359399	36013586	30027098	38243934
